,Albany,Annapolis,Atlanta,Austin,Austin,Baton Rouge,Bismarck,Boise,Boston,Carson City,Charleston,Cheyenne,Columbia,Columbus,Concord,Denver,Des Moines,Dover,Frankfurt,Harrisburg,Hartford,Helena,Indianapolis,Jackson,Jefferson City,Lansing,Lincoln,Litle Rock,Madison,Montgomery,Montpellier,Nashville,Oklahoma City,Olynpia,Phoenix,Pierre,Providence,Raleigh,Richmond,Sacremento,Salem,Salt Lake City,Santa Fe,Springfield,St Paul,Tallahassee,Topeka,Trenton,Washington DC
Albany,0,298.806060998,815.2001125618,223.6170060085,1536.0371588593,1246.6216216216,1310.920864703,2072.9064614581,136.3542977744,2310.4996234281,501.9583634976,1552.3440944998,691.1329901548,509.6673172647,122.0431882986,1578.2146573733,970.3871889956,257.4563725834,639.5133741636,221.5031407092,84.8934794245,1851.0264313416,660.8543344977,1120.0952248077,949.4128072643,551.6195690998,1151.8597802035,1110.4057014298,764.4472286405,960.9412330229,124.8885551412,818.1257866464,1340.1224350703,2317.228818518,2098.0826449987,1305.4447492812,137.6588663218,508.5414519262,380.0986473779,2404.8520848561,2381.7783207765,1906.0791649492,1722.6832029782,822.4535706177,941.0995542841,1000.8711508622,1129.4924909316,172.3092205731,310.5654142886
Annapolis,298.806060998,0,535.1850406705,506.3836464286,1298.8704566321,979.8427241457,1292.7951862991,2016.6321304949,372.1623829711,2214.7160380716,267.9665330215,1453.5027652302,393.72880304,347.1013749607,399.0978916257,1461.6003441799,868.3179061388,62.6085616682,424.6222486564,95.8721642464,286.722238542,1821.5124726703,502.8498041096,861.7249272568,781.194756995,508.6909035498,1038.5521981928,886.7380266892,703.4251094376,678.1700579245,423.4982922117,582.8892358009,1149.6174372411,2293.4670971665,1938.0339576208,1253.6748392744,336.1810727266,211.9867152004,81.9881692547,2307.4548888939,2336.8272304019,1810.0170961181,1563.5895762759,668.2490503396,910.7872520812,705.2888999782,984.4258374121,141.8918918919,24.6598480958
Atlanta,815.2001125618,535.1850406705,0,1034.715398988,797.662822762,449.1957751493,1196.8680595353,1790.2045834747,906.3055227192,1910.9576236654,331.3987720135,1189.2275792329,201.9716547094,413.756883868,927.590247313,1163.4587754334,699.5563657337,594.8728617904,279.5901531919,594.3373214906,819.6436116445,1654.1832223015,408.5402446306,344.9521197759,496.4271544239,620.167585565,804.0733588416,440.0936632496,676.3469638327,146.0866438924,933.4035776986,208.6656711303,740.0175703203,2111.771115951,1536.4864864865,1101.3492787246,871.312798842,385.508354015,469.330082999,1997.7572569525,2116.2676679051,1524.3081511506,1180.3912884566,466.9955296248,867.0203818745,236.6071120932,695.3057275649,676.5565204378,516.0167472268
Augusta,223.6170060085,506.3836464286,1034.715398988,0,1758.8638610795,1469.4324234846,1461.4878921911,2233.3036468342,145.9600218437,2488.3108759437,725.403844603,1736.9682000897,899.2989417093,729.5326310397,107.4324324324,1769.651480464,1164.8493837938,454.316405867,862.5184598018,440.7234117212,221.4567613581,1999.5129291858,876.7354697986,1343.5030541601,1162.9995804407,742.3514305619,1346.9545024618,1332.4908503723,950.3384983808,1179.863812386,136.1884624236,1041.6039669467,1555.8287457797,2458.3893759114,2302.2003520372,1472.7896302955,190.3463645444,706.1884051371,583.7978601907,2582.9287995114,2534.108087354,2086.48440782,1928.0437075827,1034.6220766493,1107.5991744926,1211.450120797,1335.0708486547,366.2361618185,522.1552374898
Austin,1536.0371588593,1298.8704566321,797.662822762,1758.8638610795,0,383.643983864,1132.3300282667,1363.6213227141,1650.852674959,1342.0357969706,1041.0515593187,837.2799472144,996.804838862,1032.7737514198,1657.2368523118,754.5334134572,811.026153836,1361.4138871396,896.5327661221,1332.0590795932,1563.7748269098,1348.874926855,901.4460625308,453.2434245515,656.0087081189,1107.0240247531,724.7153165159,428.5664392384,987.2537279249,691.7628812366,1636.5629236506,720.1168641462,344.6482470156,1717.0785501138,843.2164431812,985.6125803326,1623.090550909,1180.9846348772,1247.453578684,1411.4775917332,1659.8294441851,1040.109817838,583.9984121225,775.8828238326,1032.415628843,786.3663184876,614.5937923406,1431.9163399707,1276.0839503561
Baton Rouge,1246.6216216216,979.8427241457,449.1957751493,1469.4324234846,383.643983864,0,1211.4178995071,1624.3368315838,1347.3738762156,1663.4779729227,745.5189362418,1040.6291643551,636.7446541318,777.4936906539,1363.542977744,981.2758071216,767.2879677279,1040.8206449949,627.5572228353,1029.9092735578,1259.9909344347,1553.7396861823,686.5160799112,137.1804674245,547.6200249679,917.768805302,769.3415453753,292.6369994387,868.9304778349,321.8444038768,1358.7931914682,448.7244522415,497.3285095963,1970.7477733021,1205.7386522748,1079.7682061947,1314.4906900727,832.6961893479,917.482233424,1740.8244533007,1939.1869526308,1317.9105582667,896.1660485421,622.680135782,989.8888476017,402.8279553082,636.9930416693,1119.6329243631,959.2807694281
Bismarck,1310.920864703,1292.7951862991,1196.8680595353,1461.4878921911,1132.3300282667,1211.4178995071,0,774.9608251368,1444.5536679157,1065.9502802664,1093.1108562478,435.1692323387,1323.2885152232,966.3711839439,1407.8209815162,524.1658300433,497.3656863962,1334.5968112687,984.0751721718,1242.4088342684,1387.4848231259,540.1523099055,845.1171356522,1114.9551560489,714.5176825151,787.4889125798,442.1010538953,922.8317429837,591.7148476423,1243.816884404,1330.2302123404,989.0313343254,790.9172699028,1007.7586616287,1082.069860321,148.0284975426,1447.7287569462,1359.8813554681,1311.6760170497,1159.1369330285,1072.9887159305,694.9274231513,801.4450631136,732.2591297914,382.0717428108,1396.0345724201,574.4252693482,1340.6757369707,1271.4000869727
Boise,2072.9064614581,2016.6321304949,1790.2045834747,2233.3036468342,1363.6213227141,1624.3368315838,774.9608251368,0,2208.2698880495,366.2698175593,1784.1269633026,602.0406768859,1958.4868275692,1672.8659966671,2175.015112917,644.7093217637,1152.4375110811,2065.4599750885,1647.9866858909,1980.0485169034,2145.9027584326,272.8968652264,1527.4828905778,1582.6720166221,1302.4007514248,1530.9140912251,999.3325475239,1395.9742350814,1320.5034857232,1785.6037245331,2100.5634222787,1589.5304377136,1127.3350492943,353.6160122916,759.0749363193,768.7885820281,2207.9228477644,2043.1638095885,2020.7517730461,441.6965846596,326.3576464056,327.2565924205,788.3050513018,1377.3406268376,1131.8073808767,1934.9456818781,1095.5588845607,2084.0775636846,1993.4344846415
Boston,136.3542977744,372.1623829711,906.3055227192,145.9600218437,1650.852674959,1347.3738762156,1444.5536679157,2208.2698880495,0,2446.8533668431,610.3505949819,1688.5755642211,761.353078316,634.576018997,61.8824494154,1713.883416677,1105.9842864084,316.0667526189,756.157158697,319.4867254107,87.538471142,1984.702729202,789.1698095547,1225.0288826517,1078.5345853131,687.9032119945,1287.2307919563,1228.4017926588,900.784902442,1050.0586960533,153.3724251732,930.8116053768,1466.9010730849,2449.8514810159,2230.7245937799,1441.2176416916,44.6406396193,564.8171776069,446.0611030675,2541.2039997694,2516.2297333222,2042.4145681225,1855.0608920128,952.7997362891,1076.542203266,1073.89014684,1262.3106356911,230.270627141,390.3540422557
Carson City,2310.4996234281,2214.7160380716,1910.9576236654,2488.3108759437,1342.0357969706,1663.4779729227,1065.9502802664,366.2698175593,2446.8533668431,0,1964.1588567652,762.1864214081,2096.2958435527,1867.693946911,2420.0402240257,757.5388092236,1350.1232595301,2268.6426356584,1816.3180171759,2191.3099712423,2377.4391573028,629.7010926095,1712.9277922965,1651.7036659159,1453.7571597327,1759.2749623034,1176.180576579,1484.0066846309,1546.1646096066,1878.7785156153,2352.9462205345,1725.2965254714,1188.3790621982,563.6046494455,565.0171946419,1019.9411049469,2441.1347709725,2209.5161782951,2206.7352409537,94.6428448373,415.9111728787,405.5320748056,768.1255703932,1550.9313514711,1382.0727518143,2018.9759028103,1242.0234909541,2299.0061212101,2190.5438751496
